gr_year,squirrel_id,N
SU_2007,8398,23
SU_2007,10141,65
SU_2007,10160,33
SU_2007,7846,76
SU_2007,7847,98
SU_2007,8443,53
SU_2007,8591,67
SU_2007,10134,33
SU_2007,10115,39
SU_2007,10786,22
SU_2007,7710,23
SU_2007,8580,39
SU_2007,7727,51
SU_2007,7915,99
SU_2007,7636,27
SU_2007,10120,52
SU_2007,10135,53
SU_2007,10114,29
SU_2007,10358,25
KL_2008,8297,23
KL_2008,8576,29
KL_2008,8592,41
KL_2008,8745,43
KL_2008,10138,29
KL_2008,10177,54
KL_2008,10183,51
KL_2008,10184,36
KL_2008,10376,35
KL_2008,10642,42
KL_2008,10725,40
KL_2008,8413,38
KL_2008,8483,61
KL_2008,8648,45
KL_2008,10140,32
KL_2008,10181,74
KL_2008,10182,52
KL_2008,10265,41
KL_2008,8703,29
KL_2008,8728,42
KL_2008,8729,43
KL_2008,10275,64
KL_2008,8385,39
KL_2008,10176,60
KL_2008,10391,69
KL_2008,10410,25
KL_2008,13682,22
KL_2008,10050,47
KL_2008,10318,59
KL_2008,10322,36
KL_2008,10341,56
KL_2008,10342,117
KL_2008,10377,97
KL_2008,10408,70
KL_2008,10722,35
KL_2008,10760,42
KL_2008,8619,41
KL_2008,8733,61
KL_2008,10136,40
KL_2008,10178,53
KL_2008,8330,34
KL_2008,8582,41
KL_2008,10285,59
KL_2008,10375,43
KL_2008,10748,103
KL_2008,8680,88
KL_2008,10317,33
KL_2008,10370,39
KL_2008,8730,37
KL_2008,10145,46
KL_2008,10192,62
KL_2008,10374,68
KL_2008,8571,29
KL_2008,8609,36
KL_2008,10137,39
KL_2008,10212,33
KL_2008,8727,38
KL_2008,8732,40
KL_2008,10121,42
KL_2008,10369,64
KL_2008,10146,22
KL_2008,10147,24
KL_2008,11162,22
KL_2008,11161,39
KL_2008,11202,22
KL_2008,8518,25
SU_2008,10638,27
SU_2008,13656,48
SU_2008,13666,47
SU_2008,7831,45
SU_2008,13667,39
SU_2008,8579,37
SU_2008,8597,49
SU_2008,8603,51
SU_2008,8644,61
SU_2008,10139,71
SU_2008,10141,37
SU_2008,10271,66
SU_2008,8593,24
SU_2008,10240,45
SU_2008,8496,43
SU_2008,10191,32
SU_2008,10361,37
SU_2008,8398,24
SU_2008,8591,35
SU_2008,8817,25
SU_2008,10134,37
SU_2008,10663,35
SU_2008,16199,74
SU_2008,10135,70
SU_2008,10185,57
SU_2008,10114,46
SU_2008,10120,40
KL_2009,10050,33
KL_2009,10181,38
KL_2009,10192,35
KL_2009,10342,50
KL_2009,10376,34
KL_2009,11176,37
KL_2009,10140,24
KL_2009,10182,34
KL_2009,10341,39
KL_2009,10374,29
KL_2009,10375,32
KL_2009,10517,28
KL_2009,11489,29
KL_2009,10136,23
KL_2009,10137,25
KL_2009,10212,24
KL_2009,10642,39
KL_2009,11171,40
KL_2009,10178,33
KL_2009,10760,25
KL_2009,10121,47
KL_2009,10275,36
KL_2009,10318,49
KL_2009,10408,27
KL_2009,11161,31
KL_2009,11177,46
KL_2009,10391,34
KL_2009,10177,43
KL_2009,11168,28
KL_2009,11203,23
KL_2009,10377,31
KL_2009,10146,25
KL_2009,10322,23
KL_2009,10759,27
KL_2009,10818,26
KL_2009,10461,27
KL_2009,11266,23
SU_2009,10325,53
SU_2009,10405,31
SU_2009,10120,127
SU_2009,10271,110
SU_2009,10786,32
SU_2009,10135,83
SU_2009,10191,75
SU_2009,10661,113
SU_2009,13656,90
SU_2009,13666,149
SU_2009,10343,43
SU_2009,10141,30
SU_2009,10185,176
SU_2009,10474,52
SU_2009,13667,36
SU_2009,10115,95
SU_2009,10114,35
SU_2009,10358,59
SU_2009,10361,40
